A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF
0.00086701,-0.0007646,0.00026634,-0.0007572,-0.00053594,0.00028542,-0.00070943,0.00090107,0.00037066,0.00068878,-0.0005358,-0.00028938,-0.0004216,0.00037364,-5.04E-05,6.59E-09,5.68E-09,2.09E-09,9.18E-10,9.39E-10,5.47E-09,2.80E-09,2.98E-09,9.63E-09,9.97E-09,7.83E-09,3.82E-09,7.46E-09,3.81E-10,2.69E-09,-0.0010372,0
-0.00092819,-0.00083334,-0.0012471,-0.00049865,-0.0007768,0.00083648,0.0004236,0.0016451,0.00032293,0.00052094,-0.00026951,-0.00085189,-0.00035719,0.00072925,-0.00055791,3.02E-09,8.05E-09,2.48E-09,1.75E-09,7.66E-09,3.87E-09,8.12E-09,2.39E-09,4.30E-09,2.61E-09,2.99E-09,9.24E-09,3.52E-09,8.46E-09,7.01E-09,-0.00078925,0
0.00060372,0.0011538,-0.00011526,0.00012241,0.001825,-7.40E-06,-0.00041438,-0.0012578,0.00097173,0.001049,0.00037933,3.93E-05,-0.00031083,0.0015069,-0.00073691,3.14E-09,1.92E-09,1.39E-09,7.28E-09,3.80E-09,2.01E-09,1.84E-09,7.41E-09,1.84E-09,5.51E-09,7.93E-09,3.72E-09,5.97E-09,5.45E-09,1.32E-09,0.00052467,0
0.00011438,0.00071372,-0.0011409,-1.05E-05,-0.00058991,-0.00058041,-0.00021355,0.00045033,-0.00029167,-0.00066241,-0.0006837,-5.44E-05,-0.00038333,-0.001196,0.000204,6.64E-09,9.54E-09,5.68E-09,5.69E-09,4.41E-09,8.88E-09,5.99E-09,9.44E-09,8.70E-09,8.05E-09,2.72E-09,5.11E-09,3.79E-09,6.40E-09,1.31E-09,-0.00088761,0
0.0013017,0.00034375,0.00085026,-0.00037888,0.0010766,-0.00017933,-0.00043704,0.00065957,0.00020696,1.23E-05,0.00049541,0.00016818,-0.0010902,-0.00027642,0.00061755,2.10E-09,5.94E-09,8.26E-09,4.47E-09,4.57E-09,4.05E-09,4.41E-09,7.49E-09,8.06E-09,4.91E-09,2.95E-09,5.01E-10,2.79E-10,4.39E-09,6.35E-09,-0.000265,0
-0.00019833,-0.00012424,0.00030422,0.0010661,-0.00083669,2.15E-05,-0.00053803,5.05E-05,0.00012319,-0.0013829,0.00075596,-0.00055669,8.90E-05,-0.0013214,0.0010749,8.97E-09,7.25E-10,8.38E-09,5.95E-09,4.82E-09,6.86E-09,8.48E-10,5.03E-09,5.75E-09,4.62E-09,7.24E-09,4.15E-09,1.78E-09,4.53E-09,8.27E-09,0.00061684,0
0.00011777,-0.00018605,0.00067832,-0.00045258,0.00086538,-0.00022856,0.0003573,0.00034194,-0.0002359,0.00045285,0.00048382,0.0010081,0.0006478,-0.00067912,0.001023,9.46E-09,2.23E-09,9.09E-09,1.28E-09,4.57E-09,3.59E-09,8.41E-09,5.58E-09,3.95E-09,5.57E-09,9.84E-09,9.19E-09,7.48E-09,3.37E-09,5.04E-09,0.0010589,0
-0.00024668,6.93E-05,-0.0012677,0.00068613,0.0015159,-0.0004641,-0.00014012,0.00012426,0.0002793,0.0011302,0.00061324,-0.00093561,0.00074903,-0.00024194,0.00013963,9.56E-09,8.35E-09,3.32E-09,3.14E-09,5.44E-09,9.71E-09,5.06E-09,7.11E-09,3.31E-09,4.23E-09,4.64E-09,4.40E-09,8.07E-09,9.73E-10,6.65E-09,0.0013912,1
-0.00010495,0.0010867,0.00093117,0.00068397,-2.14E-05,1.41E-05,0.00049801,-0.0013274,0.0012982,6.41E-05,0.00013738,-0.00031167,0.0011606,0.00027115,0.00056037,1.62E-09,3.90E-09,8.63E-09,2.50E-09,9.55E-09,3.66E-10,7.22E-09,6.15E-09,5.66E-09,3.97E-10,2.81E-09,1.64E-09,9.04E-09,6.39E-09,4.78E-09,0.0012802,0
-0.00048319,0.00073628,-0.00050503,-0.0012471,5.93E-05,-0.00030064,-0.00052907,-0.00032192,-0.00025637,0.0010424,-0.00018034,2.28E-05,-0.00055151,-0.00048594,0.00047523,4.66E-09,8.82E-09,4.85E-09,7.92E-09,6.10E-09,1.99E-10,3.87E-09,7.74E-10,2.27E-09,3.02E-09,9.09E-09,7.16E-09,9.27E-09,3.06E-09,3.60E-09,-0.00048694,1
0.00042989,-0.00065298,-0.00032138,-0.00091602,-0.00016346,0.00022348,1.45E-05,0.0010572,-0.00090427,3.27E-05,0.00071155,0.00048888,-9.05E-06,0.00031421,0.00047661,6.86E-09,5.54E-09,4.11E-09,3.59E-10,3.48E-09,8.98E-09,1.13E-10,2.79E-09,8.85E-09,7.39E-09,1.55E-09,6.33E-09,5.42E-09,5.56E-09,2.43E-10,0.00049369,1
4.15E-05,0.00029403,0.00058239,0.00049842,-0.0017437,0.00051846,-0.00036644,-5.47E-05,-0.00017612,0.00086987,-0.00067275,-0.0006014,0.00063586,0.00060818,0.00048222,3.30E-09,2.89E-09,2.88E-09,6.66E-09,1.18E-10,7.82E-09,5.54E-09,1.02E-09,4.67E-09,1.21E-09,1.39E-09,6.89E-09,1.71E-09,2.59E-09,6.67E-09,-0.00025267,1
0.00069273,-0.00017719,-0.00082903,-5.07E-05,-0.00037408,-0.0011503,0.00043653,0.00023637,-0.00097325,-0.00057736,-0.00063255,-0.00095168,-0.00048201,0.00016964,-0.00017328,4.14E-09,4.76E-09,2.99E-10,9.13E-09,6.30E-09,1.79E-09,5.92E-09,3.59E-09,3.57E-09,4.29E-09,2.19E-09,3.56E-09,7.09E-09,2.36E-09,3.05E-09,-0.0010505,1
-0.00019641,4.96E-05,0.00041534,0.00023153,0.00072335,0.00022284,-0.00019555,0.00061309,0.0003998,0.00012183,0.0014586,-0.00064837,0.0020122,0.00059591,-0.00082692,8.31E-09,6.90E-09,5.85E-09,2.53E-09,3.63E-09,6.13E-09,4.74E-09,2.82E-09,5.11E-09,3.29E-09,9.01E-09,4.12E-09,1.99E-09,8.06E-09,8.76E-09,0.003095,1
-0.0015576,0.0005325,0.00060181,0.00020419,-0.00086556,-0.00049675,-0.0002427,0.0005116,0.00054953,0.00076922,-0.0004168,-0.00014456,-0.00023423,-0.00044863,0.0020115,1.09E-09,8.80E-09,1.70E-09,5.31E-09,4.60E-09,9.26E-09,2.85E-09,1.80E-09,5.00E-09,2.76E-10,7.23E-09,1.88E-11,4.86E-09,6.08E-09,7.31E-09,-0.00059259,1
-0.00014937,-0.0002617,0.001285,0.00046788,-0.00081754,0.0014455,-0.00048268,0.00023605,-1.25E-05,-0.00029399,0.00015114,0.00049051,0.00088397,-0.00057871,0.00090861,5.85E-09,8.46E-09,6.16E-09,5.42E-09,4.08E-09,3.63E-09,2.47E-09,4.50E-09,1.71E-10,9.29E-09,3.86E-09,2.65E-09,5.67E-09,5.37E-09,7.26E-09,0.00071977,1
0.00066602,0.0012816,0.00030092,-0.00085693,0.00014045,0.00022307,0.00047579,7.80E-05,-0.00016412,0.00021557,-0.00038338,-0.0010878,-7.58E-05,0.0014785,-0.0014368,3.01E-09,8.85E-09,5.34E-10,5.79E-09,4.95E-09,8.51E-09,4.87E-09,1.54E-09,6.72E-09,7.66E-09,2.19E-09,8.79E-09,3.41E-09,4.66E-09,7.20E-09,-0.00016513,1
7.98E-06,0.00032001,0.00035008,-2.58E-05,0.00069259,0.00035977,0.0010672,-0.00049466,0.00042937,-0.00041357,0.00033353,-0.00080015,0.00055773,-4.10E-05,-0.00052039,4.90E-10,2.96E-09,9.65E-09,1.32E-09,3.03E-09,7.02E-09,5.14E-09,1.03E-09,6.93E-09,1.56E-09,7.57E-09,4.42E-09,7.28E-09,9.10E-09,2.75E-09,0.00091367,1
-0.00023723,0.00053468,0.00035076,-0.00023558,0.00092527,0.0010846,0.0002627,3.29E-05,0.00017219,3.51E-05,-7.41E-05,-0.0012774,-8.16E-05,-0.00045435,-1.08E-05,1.06E-09,7.27E-09,2.52E-09,8.27E-10,3.92E-09,7.67E-09,5.90E-09,5.85E-09,8.76E-09,9.45E-09,7.20E-09,3.79E-09,6.71E-09,1.19E-09,4.93E-09,8.26E-05,1
-0.00016895,0.00049374,0.00077944,-0.00053193,-0.00082084,-0.0013735,-0.00058442,0.00019603,0.0009661,0.0001786,3.25E-05,0.00010258,0.00064924,0.0015661,0.00011829,4.40E-09,8.31E-09,9.87E-09,5.28E-09,3.56E-10,7.02E-09,9.75E-09,2.90E-09,9.13E-10,9.77E-09,6.10E-09,8.56E-09,5.58E-09,3.45E-09,7.74E-09,0.00054809,1
0.0010538,0.00010544,-0.00023325,0.00028149,-0.00061868,-0.00074876,-0.00069256,0.00079639,-0.00050408,-0.00035243,0.0014946,-1.05E-05,-0.0013075,-0.00020224,-5.66E-05,2.29E-09,7.17E-09,8.68E-10,6.79E-09,7.64E-09,4.86E-09,6.07E-09,2.72E-09,6.57E-09,2.83E-09,6.30E-09,5.29E-09,5.49E-09,1.35E-09,6.51E-09,0.00017806,1
